Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSSSCG00000040845	103.99904836255084	0.3300231595286433	0.09760445340053053	3.2105750582375426e-5	0.002647328520846739	TRUE
ENSSSCG00000010817	35.06790691376445	0.3281030218391401	0.16035008267268394	0.0012851551722217493	0.024334824796347434	TRUE
ENSSSCG00000002792	170.7670347349274	0.3280336181324112	0.12982278112962037	4.310625106713595e-4	0.012363100967685947	TRUE
ENSSSCG00000006462	210.38606303307753	0.32541265083622795	0.0904242057329855	1.5193480500156218e-5	0.0017596601996058788	TRUE
ENSSSCG00000010533	59.391784674729735	0.32450777527980956	0.11522348168249417	1.9207429855808448e-4	0.007854855142111207	TRUE
ENSSSCG00000010293	7.563119152750578	0.3208262718996907	0.28071750080323116	0.004587979608277889	0.05366910301988599	FALSE
ENSSSCG00000004484	189.8625934195217	0.3199879510336831	0.16439654368001952	0.0015916492407106757	0.027203656159706418	TRUE
ENSSSCG00000012652	36.30724819997946	0.3194115798891	0.14816841942688516	9.930901097204333e-4	0.02083978304934774	TRUE
ENSSSCG00000024549	24.438266290172724	0.31923019358619487	0.17347330691120372	0.0018607230246344374	0.03006484529260243	TRUE
ENSSSCG00000005423	215.43641734613152	0.3181844940493019	0.09497622373090943	3.667428095413493e-5	0.0029886586515030537	TRUE
ENSSSCG00000004830	220.66719773313002	0.3173788436453334	0.07198185786402507	5.285937898041204e-7	1.7821833286462476e-4	TRUE
ENSSSCG00000026330	6.974284038918881	0.3171656276613482	0.2301457654851434	0.003787196952429849	0.04682913786655719	TRUE
ENSSSCG00000024344	101.25302234177056	0.3164786796414734	0.1552808869818518	0.0013235732468711379	0.024672760158210856	TRUE
ENSSSCG00000015334	248.26427125966313	0.31605009150248103	0.07660926150444226	1.8338428012300476e-6	4.042585689383131e-4	TRUE
ENSSSCG00000027875	218.318324429166	0.315122173286868	0.10305149968804109	9.598657187218127e-5	0.005354074516340935	TRUE
ENSSSCG00000004401	78.2140055104611	0.31236959385403207	0.0814123261363634	6.216504597810346e-6	9.431680775797858e-4	TRUE
ENSSSCG00000017750	26.053514507965648	0.30937889564695	0.15899443527504406	0.0015489087052815013	0.026847921473549564	TRUE
ENSSSCG00000017257	147.50362057510418	0.30820405357729125	0.08009683138123645	5.859521502771183e-6	9.165016519592205e-4	TRUE
ENSSSCG00000004856	35.54222681760109	0.30819678006146123	0.12599791552804865	5.465759656324321e-4	0.014079202972114194	TRUE
